,count,mean,std,min,25%,50%,75%,max
total_length_um,10.0,2028.1239598991167,837.500533226346,751.4936241252667,1550.6099015164027,1870.5081773529728,2698.0256607190913,3399.02575537088
num_segments,10.0,325.9,118.55373840115244,131.0,256.5,302.5,405.0,514.0
mean_segment_length_um,10.0,6.134635123531661,0.6249631273741614,5.01196500664692,5.746647755812434,6.227295305947667,6.618782035391775,6.922240649454769
std_segment_length_um,10.0,2.477537297249707,0.3689130332884166,2.038359933136145,2.195033005677903,2.344386329527972,2.772458846797062,3.136583916719513
n_bifurcations,10.0,17.6,5.660781257427675,9.0,14.25,16.0,22.5,26.0
n_tips,10.0,26.0,6.6332495807108,15.0,23.0,26.0,30.0,38.0
max_tree_depth,10.0,34.9,8.633912464488185,20.0,29.25,37.5,39.75,50.0
sholl_peak,10.0,17.1,5.065131346328104,10.0,14.25,16.0,19.5,26.0
sholl_peak_radius_um,10.0,48.5,15.820169966779048,25.0,37.5,50.0,63.75,65.0
sholl_auc,10.0,1647.5,668.5234559169268,610.0,1225.0,1595.0,2185.0,2725.0
max_radial_extent_um,10.0,199.25639131917063,46.88218313838921,95.90663220028112,185.590490980368,208.7599035635599,220.39211408950277,273.8794367965584
bif_per_100um,10.0,0.913485086286339,0.16316001887031356,0.7199097744039649,0.7935635728196178,0.8565050888620362,1.0222764675376521,1.197614951221434
tips_per_100um,10.0,1.3819298828047342,0.3018293320775585,1.0429247020616383,1.128528091693489,1.3417674704149003,1.5116242717162374,1.9960249187023904
