,mean,std
total_length_um,2028.1239598991167,837.500533226346
num_segments,325.9,118.55373840115244
mean_segment_length_um,6.134635123531661,0.6249631273741613
std_segment_length_um,2.477537297249707,0.3689130332884165
n_bifurcations,17.6,5.660781257427675
n_tips,26.0,6.6332495807108
max_tree_depth,34.9,8.633912464488185
sholl_peak,17.1,5.065131346328104
sholl_peak_radius_um,48.5,15.820169966779048
sholl_auc,1647.5,668.5234559169268
max_radial_extent_um,199.25639131917063,46.882183138389195
bif_per_100um,0.913485086286339,0.16316001887031356
tips_per_100um,1.3819298828047342,0.3018293320775585
